IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
172.105.199.168,20205,TRUE,NRT,亚太,日本东京,47 ms,53537 kB/s
172.104.116.38,20205,TRUE,NRT,亚太,日本东京,48 ms,53151 kB/s
172.105.208.156,20205,TRUE,NRT,亚太,日本东京,46 ms,52931 kB/s
139.162.108.5,20205,TRUE,NRT,亚太,日本东京,46 ms,52732 kB/s
139.162.106.22,20205,TRUE,NRT,亚太,日本东京,47 ms,52374 kB/s
172.105.209.25,20205,TRUE,NRT,亚太,日本东京,49 ms,52112 kB/s
139.162.83.106,20205,TRUE,NRT,亚太,日本东京,71 ms,45197 kB/s
172.104.113.18,20205,TRUE,NRT,亚太,日本东京,47 ms,45072 kB/s
172.104.116.214,20205,TRUE,NRT,亚太,日本东京,72 ms,44503 kB/s
139.177.185.88,20205,TRUE,SIN,亚太,新加坡,77 ms,35514 kB/s
139.177.185.196,20205,TRUE,SIN,亚太,新加坡,76 ms,34489 kB/s
192.53.172.74,444,TRUE,SIN,亚太,新加坡,68 ms,33103 kB/s
172.232.231.191,444,TRUE,CGK,亚太,印度尼西亚雅加达,90 ms,29386 kB/s
173.230.146.220,20205,TRUE,SJC,北美洲,美国圣何塞,201 ms,18532 kB/s
173.230.146.251,20205,TRUE,SJC,北美洲,美国圣何塞,169 ms,18049 kB/s
45.79.73.102,20205,TRUE,SJC,北美洲,美国圣何塞,198 ms,17157 kB/s
45.79.73.185,20205,TRUE,SJC,北美洲,美国圣何塞,172 ms,14275 kB/s
192.155.85.13,20205,TRUE,SJC,北美洲,美国圣何塞,172 ms,13994 kB/s
23.239.20.75,20205,TRUE,SJC,北美洲,美国圣何塞,194 ms,13741 kB/s
45.79.84.212,20205,TRUE,SJC,北美洲,美国圣何塞,139 ms,13524 kB/s
173.230.144.146,20205,TRUE,SJC,北美洲,美国圣何塞,194 ms,13425 kB/s
104.237.158.79,20205,TRUE,SJC,北美洲,美国圣何塞,171 ms,13416 kB/s
45.56.88.192,20205,TRUE,SJC,北美洲,美国圣何塞,201 ms,13336 kB/s
194.195.125.161,20205,TRUE,SYD,大洋洲,澳大利亚悉尼,174 ms,13302 kB/s
45.33.110.30,20205,TRUE,SJC,北美洲,美国圣何塞,162 ms,13208 kB/s
172.105.191.21,20205,TRUE,SYD,大洋洲,澳大利亚悉尼,160 ms,12875 kB/s
194.195.252.133,20205,TRUE,SYD,大洋洲,澳大利亚悉尼,171 ms,12307 kB/s
172.232.232.163,20205,TRUE,LAX,北美洲,美国洛杉矶,89 ms,12240 kB/s
173.230.146.230,20205,TRUE,SJC,北美洲,美国圣何塞,202 ms,11789 kB/s
172.104.251.98,20205,TRUE,FRA,欧洲,德国法兰克福,194 ms,11690 kB/s
172.104.144.120,20205,TRUE,FRA,欧洲,德国法兰克福,231 ms,11672 kB/s
139.144.181.39,20205,TRUE,FRA,欧洲,德国法兰克福,227 ms,11645 kB/s
172.104.205.39,20205,TRUE,FRA,欧洲,德国法兰克福,241 ms,11397 kB/s
172.104.155.28,20205,TRUE,FRA,欧洲,德国法兰克福,240 ms,11352 kB/s
23.239.21.193,20205,TRUE,SJC,北美洲,美国圣何塞,168 ms,11177 kB/s
172.105.81.165,20205,TRUE,FRA,欧洲,德国法兰克福,256 ms,11075 kB/s
194.233.175.240,20205,TRUE,FRA,欧洲,德国法兰克福,264 ms,11067 kB/s
139.162.174.56,20205,TRUE,FRA,欧洲,德国法兰克福,245 ms,11053 kB/s
139.144.77.58,20205,TRUE,FRA,欧洲,德国法兰克福,230 ms,11033 kB/s
172.105.72.217,20205,TRUE,FRA,欧洲,德国法兰克福,228 ms,11018 kB/s
172.104.234.37,20205,TRUE,FRA,欧洲,德国法兰克福,245 ms,10924 kB/s
172.105.67.238,20205,TRUE,FRA,欧洲,德国法兰克福,241 ms,10898 kB/s
139.144.77.236,20205,TRUE,FRA,欧洲,德国法兰克福,225 ms,10873 kB/s
45.33.63.28,20205,TRUE,SJC,北美洲,美国圣何塞,202 ms,10696 kB/s
139.162.135.127,20205,TRUE,FRA,欧洲,德国法兰克福,243 ms,10690 kB/s
139.162.164.157,20205,TRUE,FRA,欧洲,德国法兰克福,192 ms,10663 kB/s
139.177.179.96,20205,TRUE,FRA,欧洲,德国法兰克福,234 ms,10643 kB/s
173.255.250.199,20205,TRUE,SJC,北美洲,美国圣何塞,171 ms,10638 kB/s
45.79.248.18,20205,TRUE,FRA,欧洲,德国法兰克福,249 ms,10634 kB/s
170.187.190.53,20205,TRUE,FRA,欧洲,德国法兰克福,206 ms,10627 kB/s
192.46.235.185,20205,TRUE,FRA,欧洲,德国法兰克福,245 ms,10602 kB/s
45.79.73.91,20205,TRUE,SJC,北美洲,美国圣何塞,171 ms,10582 kB/s
194.195.211.127,990,TRUE,ATL,北美洲,亚特兰大,221 ms,10575 kB/s
45.56.94.149,20205,TRUE,SJC,北美洲,美国圣何塞,169 ms,10548 kB/s
192.46.232.147,3443,TRUE,FRA,欧洲,德国法兰克福,263 ms,10447 kB/s
45.79.73.59,20205,TRUE,SJC,北美洲,美国圣何塞,199 ms,10439 kB/s
45.79.73.199,20205,TRUE,SJC,北美洲,美国圣何塞,200 ms,10403 kB/s
172.104.128.242,20205,TRUE,FRA,欧洲,德国法兰克福,225 ms,10367 kB/s
139.162.138.121,20205,TRUE,FRA,欧洲,德国法兰克福,226 ms,10345 kB/s
74.207.242.149,20205,TRUE,SJC,北美洲,美国圣何塞,198 ms,10344 kB/s
172.104.155.96,20205,TRUE,FRA,欧洲,德国法兰克福,208 ms,10317 kB/s
192.46.239.226,20205,TRUE,FRA,欧洲,德国法兰克福,227 ms,10250 kB/s
139.162.156.54,20205,TRUE,FRA,欧洲,德国法兰克福,247 ms,10241 kB/s
172.104.239.152,20205,TRUE,FRA,欧洲,德国法兰克福,245 ms,10227 kB/s
74.207.243.49,20205,TRUE,SJC,北美洲,美国圣何塞,139 ms,10097 kB/s
