IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
45.78.5.151,587,TRUE,LAX,北美洲,美国洛杉矶,193 ms,10614 kB/s
80.251.219.120,14105,TRUE,LAX,北美洲,美国洛杉矶,143 ms,9795 kB/s
176.122.157.252,443,TRUE,LAX,北美洲,美国洛杉矶,207 ms,9640 kB/s
93.179.114.121,443,TRUE,LAX,北美洲,美国洛杉矶,206 ms,9189 kB/s
65.49.192.12,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,8765 kB/s
104.224.152.99,443,TRUE,LAX,北美洲,美国洛杉矶,143 ms,58768 kB/s
74.82.194.233,443,TRUE,NRT,亚太,日本东京,49 ms,51712 kB/s
192.243.115.180,443,TRUE,LAX,北美洲,美国洛杉矶,153 ms,48776 kB/s
144.34.239.81,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,46687 kB/s
96.45.187.117,443,TRUE,LAX,北美洲,美国洛杉矶,176 ms,40049 kB/s
23.106.132.54,443,TRUE,KIX,亚太,大阪,93 ms,32948 kB/s
104.225.146.252,443,TRUE,LAX,北美洲,美国洛杉矶,200 ms,21071 kB/s
45.62.118.160,443,TRUE,LAX,北美洲,美国洛杉矶,148 ms,14966 kB/s
144.34.232.242,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,14908 kB/s
74.211.102.111,443,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14761 kB/s
64.64.254.185,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,14744 kB/s
74.211.111.128,443,TRUE,LAX,北美洲,美国洛杉矶,149 ms,14671 kB/s
173.242.112.192,443,TRUE,LAX,北美洲,美国洛杉矶,148 ms,14543 kB/s
144.34.228.107,443,TRUE,LAX,北美洲,美国洛杉矶,148 ms,14534 kB/s
199.180.116.138,443,TRUE,LAX,北美洲,美国洛杉矶,143 ms,14508 kB/s
192.243.112.82,443,TRUE,LAX,北美洲,美国洛杉矶,150 ms,14241 kB/s
173.242.125.35,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,14159 kB/s
74.211.103.172,443,TRUE,LAX,北美洲,美国洛杉矶,135 ms,14068 kB/s
104.194.71.63,443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,13848 kB/s
45.62.107.226,443,TRUE,LAX,北美洲,美国洛杉矶,211 ms,13791 kB/s
144.34.230.128,443,TRUE,LAX,北美洲,美国洛杉矶,145 ms,13682 kB/s
23.105.192.140,443,TRUE,LAX,北美洲,美国洛杉矶,172 ms,13347 kB/s
216.24.184.56,443,TRUE,LAX,北美洲,美国洛杉矶,140 ms,13229 kB/s
199.19.107.173,443,TRUE,LAX,北美洲,美国洛杉矶,148 ms,13177 kB/s
162.211.230.135,443,TRUE,AMS,欧洲,荷兰阿姆斯特丹,154 ms,11900 kB/s
144.168.62.245,443,TRUE,LAX,北美洲,美国洛杉矶,145 ms,10927 kB/s
97.64.18.60,443,TRUE,LAX,北美洲,美国洛杉矶,200 ms,10847 kB/s
96.45.184.78,10911,TRUE,LAX,北美洲,美国洛杉矶,213 ms,10586 kB/s
104.160.47.72,18888,TRUE,LAX,北美洲,美国洛杉矶,178 ms,10544 kB/s
144.168.59.87,30006,TRUE,LAX,北美洲,美国洛杉矶,172 ms,10316 kB/s
104.160.45.229,512,TRUE,LAX,北美洲,美国洛杉矶,166 ms,10148 kB/s
162.211.230.243,443,TRUE,AMS,欧洲,荷兰阿姆斯特丹,157 ms,9947 kB/s
144.34.240.145,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,9456 kB/s
104.224.181.22,443,TRUE,LAX,北美洲,美国洛杉矶,173 ms,9445 kB/s
74.120.174.34,443,TRUE,LAX,北美洲,美国洛杉矶,175 ms,9404 kB/s
23.105.197.36,443,TRUE,LAX,北美洲,美国洛杉矶,173 ms,9131 kB/s
172.96.194.124,34555,TRUE,LAX,北美洲,美国洛杉矶,180 ms,9101 kB/s
172.93.47.89,587,TRUE,LAX,北美洲,美国洛杉矶,206 ms,9085 kB/s
104.160.44.132,2000,TRUE,LAX,北美洲,美国洛杉矶,213 ms,8943 kB/s
95.169.24.119,443,TRUE,LAX,北美洲,美国洛杉矶,149 ms,8888 kB/s
65.49.223.222,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,8606 kB/s
66.112.218.89,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,8574 kB/s
66.112.215.227,18819,TRUE,LAX,北美洲,美国洛杉矶,268 ms,8565 kB/s
172.93.43.112,443,TRUE,LAX,北美洲,美国洛杉矶,203 ms,8484 kB/s
172.93.41.106,443,TRUE,LAX,北美洲,美国洛杉矶,196 ms,8416 kB/s
104.160.41.230,443,TRUE,LAX,北美洲,美国洛杉矶,177 ms,8415 kB/s
96.45.189.184,443,TRUE,LAX,北美洲,美国洛杉矶,203 ms,8253 kB/s
212.50.229.194,443,TRUE,LAX,北美洲,美国洛杉矶,208 ms,8183 kB/s
172.93.42.181,50025,TRUE,LAX,北美洲,美国洛杉矶,198 ms,8135 kB/s
93.179.115.140,443,TRUE,LAX,北美洲,美国洛杉矶,177 ms,8134 kB/s
